,COLONIA,ALCALDIA,lat,lng
0,IRRIGACION,MIGUEL HIDALGO,19.4429549298,-99.2099357048
1,MARINA NACIONAL (U HAB),MIGUEL HIDALGO,19.4466319056,-99.1795110575
2,PEDREGAL DE STO DOMINGO VI,COYOACAN,19.3234027183,-99.1654676133
3,VILLA PANAMERICANA 7MA. SECCIN (U HAB),COYOACAN,19.304604269,-99.1677617231
4,VILLA PANAMERICANA 6TA. SECCIN (U HAB),COYOACAN,19.3112238873,-99.1696478642
5,SANTA CRUZ AVIACION,VENUSTIANO CARRANZA,19.4223039522,-99.0972147602
6,MAGDALENA  MIXHUCA,VENUSTIANO CARRANZA,19.407130147,-99.1181313602
7,COPILCO UNIVERSIDAD,COYOACAN,19.3361172512,-99.1826102146
8,MORALES SECCION ALAMEDA (POLANCO),MIGUEL HIDALGO,19.4337174017,-99.2048231931
9,AJUSCO HUAYAMILPAS,COYOACAN,19.3239679215,-99.1506176652
10,CHIMALISTAC,COYOACAN,19.3437968537,-99.1836820924
11,EL ARENAL PTO AEREO (FRACC),VENUSTIANO CARRANZA,19.4286918638,-99.0608757738
12,BAHIA (U HAB),VENUSTIANO CARRANZA,19.4164746958,-99.0833041984
13,CUADRANTE DE SAN FRANCISCO,COYOACAN,19.3426015251,-99.1634413109
14,EL RELOJ,COYOACAN,19.3182730247,-99.1409708841
15,EL MIRADOR,COYOACAN,19.302360178,-99.1090506054
16,LOS CIPRESES,COYOACAN,19.31922947,-99.1286608001
17,LOS CEDROS (FRACC),COYOACAN,19.3138052247,-99.113111117
18,CONSTITUCION DE LA REPUBLICA,GUSTAVO A. MADERO,19.4834013346,-99.1008831973
19,CASTILLO GRANDE (AMPL),GUSTAVO A. MADERO,19.5370255988,-99.1343412333
20,7 DE NOVIEMBRE,GUSTAVO A. MADERO,19.4604877521,-99.1204607447
21,INDUSTRIAL I,GUSTAVO A. MADERO,19.4737732535,-99.1240192961
22,TEPETATAL,GUSTAVO A. MADERO,19.5624244376,-99.1380859686
23,SAN PEDRO EL CHICO,GUSTAVO A. MADERO,19.4711734156,-99.0976237799
24,PEMEX LINDAVISTA (U HAB),GUSTAVO A. MADERO,19.5063694916,-99.1340096017
25,SAN JUAN III (U HAB),GUSTAVO A. MADERO,19.4807336276,-99.0951249141
26,GUADALUPE TEPEYAC,GUSTAVO A. MADERO,19.4680677606,-99.1203028744
27,GUADALUPE VICTORIA II,GUSTAVO A. MADERO,19.4719076043,-99.1409963107
28,LA PRADERA II (U HAB),GUSTAVO A. MADERO,19.4717015371,-99.0640666871
29,LA MALINCHE,GUSTAVO A. MADERO,19.4527555692,-99.1044431959
30,EX-ESCUELA DE TIRO,GUSTAVO A. MADERO,19.4537707513,-99.0997824587
31,GRACIANO SANCHEZ,GUSTAVO A. MADERO,19.5577319823,-99.1466396428
32,INDUSTRIAL II,GUSTAVO A. MADERO,19.4751417642,-99.1281743415
33,SAN FELIPE DE JESUS I,GUSTAVO A. MADERO,19.4975916881,-99.068562213
34,LA MAGDALENA PETLACALCO (PBLO),TLALPAN,19.2345462054,-99.1833497672
35,JUVENTUD UNIDA,TLALPAN,19.268822842,-99.1528661745
36,TLALPAN CENTRO,TLALPAN,19.2877936198,-99.1704866369
37,TLALMILLE,TLALPAN,19.2594963013,-99.1861685798
38,VERGEL DE COYOACAN-VERGEL DEL SUR,TLALPAN,19.3018048149,-99.1371575037
39,VILLA LAZARO CARDENAS,TLALPAN,19.2970032059,-99.1409452107
40,VERANO,TLALPAN,19.2651702366,-99.2004999119
41,TIERRA NUEVA,XOCHIMILCO,19.2659808577,-99.1193448586
42,REAL DEL SUR-VILLAS DEL SUR-RESIDENCIAL ACOXPA,TLALPAN,19.3004358284,-99.1232713617
43,RINCONADA (U HAB),TLALPAN,19.2863262588,-99.1351600362
44,SAN FRANCISCO TECOXPA (PBLO),MILPA ALTA,19.2003575283,-99.0025985595
45,SAN AGUSTIN OHTENCO (PBLO),MILPA ALTA,19.1943801873,-99.0124084803
46,ZONA ESCOLAR I,GUSTAVO A. MADERO,19.5389702954,-99.1501286865
47,AMSA,TLALPAN,19.2850123087,-99.1388689884
48,CALTONGO (BARR),XOCHIMILCO,19.2578760734,-99.0866169525
49,LA CONCHA,XOCHIMILCO,19.252396051,-99.1161535094
50,FUENTES BROTANTES MIGUEL HIDALGO (U HAB),TLALPAN,19.2817537126,-99.1857195712
51,ARENAL PUERTA TEPEPAN,TLALPAN,19.2856270814,-99.1500667563
52,FRACCIONAMIENTO COYUYA,IZTACALCO,19.4003710526,-99.114740351
53,SANTIAGO AHUIZOTLA (PBLO),AZCAPOTZALCO,19.476881606,-99.210669583
54,MANUEL RIVERA ANAYA CROC I (U HAB),AZCAPOTZALCO,19.5103634284,-99.1941460544
55,TIERRA NUEVA,AZCAPOTZALCO,19.4995186107,-99.2006422365
56,SAN FRANCISCO TETECALA (PBLO),AZCAPOTZALCO,19.4801640665,-99.1913765938
57,TRABAJADORES DEL HIERRO,AZCAPOTZALCO,19.4783717534,-99.1510764372
58,ATLAMPA,CUAUHTEMOC,19.4586445841,-99.1563686743
59,ASTURIAS (AMPL),CUAUHTEMOC,19.4071962945,-99.1310629695
60,TEZONTITLA-ZOMPANTITLA,TLAHUAC,19.3085274364,-99.0023174836
61,SAN PEDRO TLAHUAC (PBLO),TLAHUAC,19.270261466,-99.0099630061
62,DEL RECREO,AZCAPOTZALCO,19.472777425,-99.1841919942
63,SANTA FE,ALVARO OBREGON,19.3892631023,-99.2318957161
64,SANTA ROSA XOCHIAC (PBLO),ALVARO OBREGON,19.3251586908,-99.2891880497
65,TLACOYAQUE,ALVARO OBREGON,19.3214908934,-99.2651873681
66,RINCON DE LA BOLSA,ALVARO OBREGON,19.3316570659,-99.2528410078
67,CORPUS CHRISTY,ALVARO OBREGON,19.3609605736,-99.2476688989
68,BEJERO,ALVARO OBREGON,19.3811650716,-99.2454853927
69,SAN PEDRO XALPA (AMPL) I,AZCAPOTZALCO,19.4806755242,-99.2163596006
70,CANUTILLO PREDIO LA PRESA,ALVARO OBREGON,19.3623858593,-99.2310774136
71,BATALLON DE SAN PATRICIO (U HAB),ALVARO OBREGON,19.3715551921,-99.2065236645
72,LA CRUZ,IZTACALCO,19.4038142186,-99.1163623069
73,MOSCO CHINAMPA,IZTACALCO,19.3892461547,-99.1003711
74,PICOS IZTACALCO 1B,IZTACALCO,19.3890307661,-99.1107883223
75,GOLONDRINAS 2DA SECCION,ALVARO OBREGON,19.3764226922,-99.2170741343
76,GRAL C  A  MADRAZO,ALVARO OBREGON,19.3789240595,-99.2513109087
77,LADERA GRANDE O LA CEBADITA,ALVARO OBREGON,19.3805522891,-99.2370712397
78,LOMAS DE BECERRA ARVIDE (U HAB),ALVARO OBREGON,19.3830770974,-99.2068954912
79,CENTRO III,CUAUHTEMOC,19.4367707124,-99.1284523074
80,REFORMA POLITICA I,IZTAPALAPA,19.3374735259,-99.0289387026
81,SAN JOSE ACULCO,IZTAPALAPA,19.3763523321,-99.1003524115
82,SAN PEDRO (BARR),IZTAPALAPA,19.3655780363,-99.084795493
83,SAN JOSE BUENAVISTA,IZTAPALAPA,19.3204648149,-99.0343956858
84,SAN NICOLAS TOLENTINO II,IZTAPALAPA,19.3285912353,-99.0866038961
85,SINATEL,IZTAPALAPA,19.3612361681,-99.1322961236
86,EMILIANO ZAPATA (AMPL),IZTAPALAPA,19.3369686806,-98.9771221812
87,LA POLVORILLA,IZTAPALAPA,19.3211531804,-99.0481832532
88,GUADALUPE (BARR),IZTAPALAPA,19.3123505819,-99.0712746567
89,JARDINES DE CHURUBUSCO,IZTAPALAPA,19.3750935956,-99.1065419706
90,GRANJAS ESTRELLA II,IZTAPALAPA,19.3290512262,-99.0874920149
91,LOMAS DE ZARAGOZA,IZTAPALAPA,19.3535505274,-98.9974302415
92,LEYES DE REFORMA 1A SECCION,IZTAPALAPA,19.3610979639,-99.0710524141
93,1A AMPLIACION SANTIAGO ACAHUALTEPEC,IZTAPALAPA,19.3522227188,-99.0080836002
94,ZACAHUITZCO,IZTAPALAPA,19.3744993934,-99.1341858757
95,TORRE BLANCA (AMPL),MIGUEL HIDALGO,19.454722061,-99.1998072368
96,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.387664635,-99.257009164
97,LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,19.3780779931,-99.2730173158
98,1o DE MAYO,CUAJIMALPA DE MORELOS,19.3392611311,-99.3231057374
99,SAN PEDRO CUAJIMALPA (PBLO),CUAJIMALPA DE MORELOS,19.3566633045,-99.2986516771
100,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.3133186911,-99.2244598454
101,SAN FRANCISCO,LA MAGDALENA CONTRERAS,19.3121234935,-99.2320678282
102,SAN BARTOLO AMEYALCO,LA MAGDALENA CONTRERAS,19.3269448397,-99.2445292328
103,CAZULCO (BARR),LA MAGDALENA CONTRERAS,19.2930570398,-99.2570721564
104,CAMPESTRE POTRERO,IZTAPALAPA,19.3300361384,-98.9782838499
105,CITLALLI,IZTAPALAPA,19.3406263956,-99.0228799803
106,EL MANTO,IZTAPALAPA,19.3494810302,-99.0824855308
107,IZTACCIHUATL,BENITO JUAREZ,19.3901661043,-99.1356606612
108,CREDITO CONSTRUCTOR,BENITO JUAREZ,19.3649337395,-99.1803228599
109,CIUDAD DE LOS DEPORTES,BENITO JUAREZ,19.3833904099,-99.1800637001
110,MIGUEL ALEMAN,BENITO JUAREZ,19.38979443,-99.1445299791
111,AO DE JUAREZ,IZTAPALAPA,19.3196159253,-99.0733441061
112,NONOALCO-TLATELOLCO (U HAB) I,CUAUHTEMOC,19.4549126344,-99.1480851254
113,ALBARRADAS (U HAB),IZTAPALAPA,19.3568039527,-99.0619454061
114,DOCTORES IV,CUAUHTEMOC,19.4119151507,-99.1518458397
115,ARGENTINA ANTIGUA,MIGUEL HIDALGO,19.4555189573,-99.2070212923
116,EMILIANO ZAPATA (AMPL),GUSTAVO A. MADERO,19.4641815773,-99.105828887
117,CHURUBUSCO TEPEYAC,GUSTAVO A. MADERO,19.487318877,-99.1377347959
118,PETROLERA,AZCAPOTZALCO,19.4851563111,-99.1999936446
119,NUEVO SAN RAFAEL (BARR),AZCAPOTZALCO,19.489087629,-99.1879981053
120,AMPLIACION MIGUEL HIDALGO 3A SECC,TLALPAN,19.2800027786,-99.2067698443
121,CALVARIO CAMISETAS,TLALPAN,19.2886860704,-99.1771884226
122,HACIENDA SAN JUAN-RINCON DE SAN JUAN-CHIMALI,TLALPAN,19.2894943988,-99.1431131067
123,COAPA 2A SECCION-RAMOS MILLAN,TLALPAN,19.2993295549,-99.1178052058
124,GABRIEL HERNANDEZ (AMPL) I,GUSTAVO A. MADERO,19.5033996519,-99.0976794122
125,NUEVA ATZACOALCO III,GUSTAVO A. MADERO,19.4933070974,-99.0893699551
126,SAN JUAN DE ARAGON (PBLO),GUSTAVO A. MADERO,19.4691610894,-99.0833866338
127,VILLA GUSTAVO A MADERO,GUSTAVO A. MADERO,19.4838855728,-99.1136012969
128,SAN JOSE DE LA ESCALERA,GUSTAVO A. MADERO,19.5263898566,-99.1654305574
